Date,market_value,balance,stock_owned,price,action,amount
2023-06-15,100187.23623788681,97314.67526376572,22,130.57095336914062,buy,749
2023-06-16,100168.1416639122,97314.67526376572,22,129.70301818847656,buy,0
2023-06-20,100136.59286630478,97314.67526376572,22,128.26898193359375,buy,0
2023-06-21,100089.47813546982,97314.67526376572,22,126.12740325927734,buy,0
2023-06-22,100037.17408883896,97314.67526376572,22,123.74994659423828,buy,0
2023-06-23,100001.05919015732,97314.67526376572,22,122.10836029052734,sell,0
2023-06-26,100040.70239389267,97314.67526376572,22,123.91032409667969,sell,0
2023-06-27,100061.45764291611,97314.67526376572,22,124.85374450683594,buy,0
2023-06-28,100049.41951120224,97314.67526376572,22,124.30655670166016,buy,0
2023-06-29,100097.15745675888,97314.67526376572,22,126.4764633178711,buy,0
2023-06-30,100091.96847665634,97314.67526376572,22,126.2406005859375,buy,0
2023-07-03,100089.0627149376,97314.67526376572,22,126.1085205078125,buy,0
2023-07-05,100100.89355600205,97314.67526376572,22,126.64628601074219,buy,0
2023-07-06,100057.72204721298,97314.67526376572,22,124.68394470214844,sell,0
2023-07-07,100056.06137216416,97314.67526376572,22,124.60845947265625,sell,0
2023-07-10,100073.08068979111,97314.67526376572,22,125.38206481933594,buy,0
2023-07-11,100105.0445722374,97314.67526376572,22,126.83496856689453,buy,0
2023-07-12,100071.83543527451,97314.67526376572,22,125.3254623413086,sell,0
2023-07-13,100094.25135934677,97314.67526376572,22,126.34436798095703,buy,0
2023-07-14,100083.45864999619,97314.67526376572,22,125.85379028320312,sell,0
2023-07-17,100100.89355600205,97314.67526376572,22,126.64628601074219,buy,0
2023-07-18,100124.13948190537,97314.67526376572,22,127.70291900634766,buy,0
2023-07-19,100126.62999093857,97314.67526376572,22,127.81612396240234,buy,0
2023-07-20,100186.82132089463,97314.67526376572,22,130.55209350585938,sell,0
2023-07-21,100198.44403207627,97314.67526376572,22,131.0803985595703,buy,0
2023-07-24,100210.897248629,97314.67526376572,22,131.64645385742188,buy,0
2023-07-25,100227.29452646103,97314.67526376572,22,132.39178466796875,sell,0
2023-07-26,100242.65350473252,97314.67526376572,22,133.0899200439453,buy,0
2023-07-27,100282.08841073838,97314.67526376572,22,134.88241577148438,buy,0
2023-07-28,100276.86683538133,100276.86683538133,0,135.3352813720703,sell,22
2023-07-31,100276.86683538133,100276.86683538133,0,136.02398681640625,buy,0
2023-08-01,100276.86683538133,100276.86683538133,0,135.22206115722656,buy,0
2023-08-02,100276.86683538133,100276.86683538133,0,136.01454162597656,sell,0
2023-08-03,100276.86683538133,100276.86683538133,0,136.27870178222656,buy,0
2023-08-04,100276.86683538133,100276.86683538133,0,136.08059692382812,sell,0
2023-08-07,100276.86683538133,100276.86683538133,0,137.9108428955078,buy,0
2023-08-08,100276.86683538133,100276.86683538133,0,137.65614318847656,sell,0
2023-08-09,100276.86683538133,100276.86683538133,0,135.97657775878906,sell,0
2023-08-10,100276.86683538133,100276.86683538133,0,136.7018280029297,buy,0
